,random_diss,qsampled_diss,qsampled_diss_pos,m2_diss,m2_diss_pos,m3_diss,random_resp,qsampled_resp,m2_resp,m3_resp
89,0.43819458274618966,0.35738528996268276,0.45602804985206974,0.25867284018595627,0.2596013719365138,0.43734037001800474,1,4,4,4
90,0.4349555730575916,0.35263829673399344,0.46174396463846384,0.2533220870101115,0.2567486096075411,0.43031019659401337,4,1,4,4
91,0.4321453358221563,0.35520880695444956,0.46120071182589745,0.25536289008022467,0.2539578638509374,0.4296913989036813,3,3,4,4
92,0.42474646306705843,0.3601443047183858,0.4623398467178041,0.2541325058686657,0.25040216365200585,0.43202557360626614,2,4,3,4
93,0.4305566971241288,0.355108002180973,0.46671019127734925,0.25980560757783305,0.2581866391146745,0.4275143686976439,4,2,1,3
94,0.4258307119078615,0.36043255277265623,0.4698365284034536,0.2584857073322733,0.2661302429391942,0.426158215187572,2,4,2,4
95,0.4300675901566365,0.3522641021355765,0.4741020870292645,0.25781500404050794,0.26350694501760885,0.4253086962295627,3,2,5,5
96,0.43258945426939105,0.351934752744167,0.48024034302346136,0.26468546687549244,0.2649018003649149,0.42398248080099543,5,1,4,3
97,0.4324433736162417,0.3549913735242304,0.48380249889739657,0.2665400056527701,0.26114642300681595,0.42217684208653705,4,5,4,4
98,0.43157131176900254,0.3513614442737487,0.4861522948419288,0.2639640716093425,0.266730577447597,0.418901955690186,1,2,3,3
99,0.4353486916789698,0.3546949477874295,0.4852630592632239,0.2686402906569451,0.27193560055196664,0.41784082713186194,5,4,2,4
100,0.4354937288396906,0.3615315137438043,0.48688984159062626,0.2667199544977128,0.2713886420492597,0.4153046431573952,4,3,4,3
101,0.43001874972166126,0.3561426503843636,0.48888284686831246,0.26952312367091885,0.268900499921868,0.41995619388235056,5,2,5,5
102,0.4268406393354506,0.3554834211171984,0.49012355745629205,0.2668353416838253,0.26655524266199193,0.42154935394983944,2,2,3,5
103,0.41899264910953504,0.34911763637349114,0.4781081456573155,0.26512465818592407,0.2769447191138746,0.41373602400159054,3,5,3,5
104,0.42140238056035484,0.3490269851855918,0.4781401509471943,0.26039807507255486,0.2790985577747369,0.4149295374615136,1,3,3,1
105,0.41123906105440583,0.33818086320889573,0.4824011610119645,0.25722343568501416,0.27691736440751386,0.41114690230255135,4,1,4,2
